5652,1584230415,9,2884,1184,FALSE,FALSE,TRUE,FALSE
4794,1584230663,14,1070,158,FALSE,FALSE,FALSE,FALSE
5657,1584230668,4,473,720,FALSE,FALSE,FALSE,FALSE
5703,1584230719,7,2498,637,FALSE,TRUE,FALSE,FALSE
5925,1584230720,3,641,765,FALSE,FALSE,FALSE,TRUE
4699,1584230971,24,1974,556,FALSE,FALSE,FALSE,FALSE
5331,1584231272,24,936,141,FALSE,FALSE,TRUE,FALSE
4987,1584231274,21,3166,921,FALSE,FALSE,FALSE,FALSE
4043,1584231481,1,1558,409,TRUE,FALSE,FALSE,FALSE
5698,1584231520,34,1779,1075,FALSE,FALSE,FALSE,FALSE
4320,1584231598,22,2523,181,TRUE,FALSE,FALSE,FALSE
4573,1584231623,35,1176,211,FALSE,TRUE,FALSE,FALSE
5234,1584231892,19,742,874,FALSE,FALSE,FALSE,FALSE
4239,1584231907,28,3820,26,FALSE,FALSE,FALSE,FALSE
5498,1584232040,15,1188,1420,FALSE,FALSE,TRUE,FALSE
4536,1584232163,25,972,679,FALSE,FALSE,FALSE,TRUE
5985,1584232194,6,1868,1299,FALSE,FALSE,FALSE,FALSE
4127,1584232264,21,415,1114,FALSE,FALSE,FALSE,TRUE
4603,1584232303,27,544,20,FALSE,FALSE,FALSE,FALSE
4092,1584232321,28,4500,197,FALSE,FALSE,FALSE,FALSE
4949,1584232470,29,4500,1349,FALSE,FALSE,FALSE,FALSE
4168,1584232580,1,1053,845,FALSE,FALSE,FALSE,FALSE
5835,1584232611,16,1498,1113,FALSE,FALSE,FALSE,FALSE
5695,1584232620,29,2340,493,FALSE,FALSE,FALSE,FALSE
4692,1584232863,3,2669,226,FALSE,FALSE,FALSE,FALSE
5867,1584232989,35,675,600,FALSE,FALSE,FALSE,FALSE
5688,1584233297,20,802,672,FALSE,TRUE,FALSE,FALSE
4571,1584233338,28,2125,603,FALSE,FALSE,FALSE,FALSE
5909,1584233377,16,3358,168,FALSE,FALSE,TRUE,FALSE
4003,1584233387,29,2270,1452,FALSE,FALSE,FALSE,TRUE
5168,1584233545,23,4500,881,FALSE,FALSE,FALSE,FALSE
5971,1584233555,20,3463,290,FALSE,TRUE,FALSE,FALSE
5241,1584233589,29,1095,1437,FALSE,FALSE,FALSE,FALSE
5211,1584233878,21,2947,77,FALSE,FALSE,TRUE,TRUE
5355,1584234007,18,2858,273,FALSE,FALSE,FALSE,FALSE
5714,1584234067,5,3720,333,FALSE,FALSE,FALSE,FALSE
4921,1584234103,17,3029,960,FALSE,FALSE,FALSE,FALSE
4288,1584234123,27,235,517,FALSE,FALSE,FALSE,FALSE
4905,1584234264,5,2571,553,FALSE,FALSE,FALSE,FALSE
4227,1584234335,5,860,282,FALSE,FALSE,FALSE,FALSE
5950,1584234436,34,445,270,FALSE,FALSE,FALSE,FALSE
